date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:07:11	90593/90593	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Sep%202022%2014:34:36%20GMT	http://laravel.spruko.com/spruha/ltr/index	C:/acs/acs/laravel.spruko.com/spruha/ltr/index.html	(from )
08:07:11	315/315	------	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Sep%202022%2014:34:37%20GMT	http://laravel.spruko.com/robots.txt		(from )
08:07:12	8522/8522	------	200	untouched ('')	image/x-icon	date:Tue,%2010%20Nov%202020%2000:52:42%20GMT	http://laravel.spruko.com/spruha/ltr/assets/img/brand/favicon.ico	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/img/brand/favicon.ico	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	160392/160392	------	200	untouched ('OK')	text/css	date:Tue,%2013%20Oct%202020%2021:33:28%20GMT	http://laravel.spruko.com/spruha/ltr/assets/plugins/bootstrap/css/bootstrap.min.css	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/plugins/bootstrap/css/bootstrap.min.css	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	261300/261300	------	200	untouched ('OK')	text/css	date:Fri,%2023%20Oct%202020%2022:44:02%20GMT	http://laravel.spruko.com/spruha/ltr/assets/plugins/web-fonts/icons.css	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/plugins/web-fonts/icons.css	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	79489/79489	------	200	untouched ('OK')	text/css	date:Sat,%2005%20Sep%202020%2019:21:40%20GMT	http://laravel.spruko.com/spruha/ltr/assets/plugins/web-fonts/font-awesome/font-awesome.min.css	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/plugins/web-fonts/font-awesome/font-awesome.min.css	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	224288/224288	------	200	untouched ('OK')	text/css	date:Thu,%2026%20Nov%202020%2018:14:38%20GMT	http://laravel.spruko.com/spruha/ltr/assets/plugins/web-fonts/plugin.css	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/plugins/web-fonts/plugin.css	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	818463/818463	------	200	untouched ('OK')	text/css	date:Wed,%2020%20Jan%202021%2018:00:08%20GMT	http://laravel.spruko.com/spruha/ltr/assets/css/style/style.css	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/css/style/style.css	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	28610/28610	------	200	untouched ('OK')	text/css	date:Wed,%2020%20Jan%202021%2018:00:08%20GMT	http://laravel.spruko.com/spruha/ltr/assets/css/skins.css	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/css/skins.css	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	137361/137361	------	200	untouched ('OK')	text/css	date:Wed,%2020%20Jan%202021%2018:00:08%20GMT	http://laravel.spruko.com/spruha/ltr/assets/css/dark-style.css	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/css/dark-style.css	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	14341/14341	------	200	untouched ('OK')	text/css	date:Wed,%2020%20Jan%202021%2018:00:08%20GMT	http://laravel.spruko.com/spruha/ltr/assets/css/colors/default.css	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/css/colors/default.css	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	14222/14222	------	200	untouched ('OK')	text/css	date:Wed,%2020%20Jan%202021%2018:00:08%20GMT	http://laravel.spruko.com/spruha/ltr/assets/css/colors/color.css	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/css/colors/color.css	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	16061/16061	------	200	untouched ('OK')	text/css	date:Mon,%2023%20Nov%202020%2023:10:06%20GMT	http://laravel.spruko.com/spruha/ltr/assets/plugins/select2/css/select2.min.css	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/plugins/select2/css/select2.min.css	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	3810/3810	------	200	untouched ('OK')	text/css	date:Sat,%2007%20Mar%202020%2018:20:34%20GMT	http://laravel.spruko.com/spruha/ltr/assets/plugins/multipleselect/multiple-select.css	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/plugins/multipleselect/multiple-select.css	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	8318/8318	------	200	untouched ('OK')	text/css	date:Wed,%2020%20Jan%202021%2018:00:08%20GMT	http://laravel.spruko.com/spruha/ltr/assets/css/sidemenu/sidemenu.css	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/css/sidemenu/sidemenu.css	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	13286/13286	------	200	untouched ('OK')	text/css	date:Tue,%2017%20Nov%202020%2022:48:50%20GMT	http://laravel.spruko.com/spruha/ltr/assets/switcher/css/switcher.css	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/switcher/css/switcher.css	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	6525/6525	------	200	untouched ('OK')	text/css	date:Sat,%2014%20Nov%202020%2000:29:32%20GMT	http://laravel.spruko.com/spruha/ltr/assets/switcher/demo.css	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/switcher/demo.css	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	86911/86911	------	200	untouched ('OK')	text/html	date:Wed,%2021%20Sep%202022%2014:35:04%20GMT	https://laravel.spruko.com/spruha/ltr/horizontal	C:/acs/acs/laravel.spruko.com/spruha/ltr/horizontal.html	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	12217/12217	------	200	untouched ('OK')	text/css	date:Wed,%2020%20Jan%202021%2018:00:08%20GMT	http://laravel.spruko.com/spruha/ltr/assets/css/colors/color1.css	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/css/colors/color1.css	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	11920/11920	------	200	untouched ('OK')	text/css	date:Wed,%2020%20Jan%202021%2018:00:08%20GMT	http://laravel.spruko.com/spruha/ltr/assets/css/colors/color2.css	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/css/colors/color2.css	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	11975/11975	------	200	untouched ('OK')	text/css	date:Wed,%2020%20Jan%202021%2018:00:08%20GMT	http://laravel.spruko.com/spruha/ltr/assets/css/colors/color3.css	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/css/colors/color3.css	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	11909/11909	------	200	untouched ('OK')	text/css	date:Wed,%2020%20Jan%202021%2018:00:08%20GMT	http://laravel.spruko.com/spruha/ltr/assets/css/colors/color4.css	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/css/colors/color4.css	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	12153/12153	------	200	untouched ('OK')	text/css	date:Wed,%2020%20Jan%202021%2018:00:08%20GMT	http://laravel.spruko.com/spruha/ltr/assets/css/colors/color5.css	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/css/colors/color5.css	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	24933/24933	------	200	untouched ('OK')	image/svg+xml	date:Mon,%2007%20Sep%202020%2022:12:50%20GMT	http://laravel.spruko.com/spruha/ltr/assets/img/loader.svg	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/img/loader.svg	(from http://laravel.spruko.com/spruha/ltr/index)
08:07:12	1886/1886	------	200	untouched ('')	image/png	date:Tue,%2010%20Nov%202020%2000:48:44%20GMT	http://laravel.spruko.com/spruha/ltr/assets/img/brand/logo-light.png	C:/acs/acs/laravel.spruko.com/spruha/ltr/assets/img/brand/logo-light.png	(from http://laravel.spruko.com/spruha/ltr/index)
